	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
AGTR1	0.5607229698535698	-5.327494944474252	5	5	0.9883860222523053	5.426950833516469	4	4	0.5761247749445226	3.1601771113190353	5	5	0.5563406378078593	-0.3936081491776002	3	3
AGTR2	0.9330575556980906	-8.274599343076737	5	5	0.09632196066064434	-1.9460804842148285	2	2	0.05547799745910129	-10.117343428900977	2	2			0	0
AGXT	0.5276842830601596	-6.83285774411694	5	5	0.712965022309601	10.963230859764458	5	5	0.8793894315387213	-2.9584042077612867	5	5	0.7419352927113232	-6.053900101191843	2	2
AGXT2	0.38932491683017934	-8.48219483653354	4	4	0.10638664028828243	-2.704269157912119	1	1	0.1152070305585291	6.695453984206726	3	3	0.012526825446983133	4.247468253390848	3	3
AHCY	0.8739336054079389	-2.861844876074698	5	5	0.7524653116266203	5.374002872045327	4	4	0.8403716883911934	-2.219844234756978	4	4	0.7046007158919422	-3.095326890423306	3	3
AK1	0.33017502771952645	-1.741245501274652	5	5	0.42335965437297274	4.723502093871088	4	4	0.6130088894356452	-0.46149966561444594	4	4	0.7477340440880693	-3.5692339355364275	4	4
AK2	0.4917399930413745	-5.2311492316376675	5	5	0.9596721613037543	2.8400047367664816	3	3	0.5636703129666165	0.7879312484850978	4	4	0.5841500112145079	-3.2851037521723385	4	4
AK3	0.03914760935492606	1.7982263280468995	5	5	0.6125957104422683	5.636310813830608	5	5	0.033636232648517936	-10.31674558834184	5	5	0.13732463494998964	-12.215313800705703	2	2
AK4	0.1345444333302132	1.1302498283470614	5	5	0.6432983503533377	5.761287126664843	5	5	0.14169350143907972	-9.546841970360108	5	5	0.21317480563693292	-8.232061912784019	2	2
AK5	0.9182289012525874	-1.7623876193114267	5	5	0.38434375366436746	8.773133804536188	5	5	0.923649354366945	-3.1541459860441474	5	5	0.5687432323270151	-7.433887810927413	4	4
AK7	0.15329877561963368	-8.359243118300812	5	5	0.41157456871512654	5.506598578281637	2	2	0.7073721163385474	0.6523955915426161	2	2	0.7058164680531573	-3.2829435123592563	2	2
AK8	0.5649221778637004	-5.1518429737902185	5	5	0.1584802287640491	-1.3348794246688378	3	3	0.44404014424004024	1.1557223184250016	4	4	0.033097297323295714	3.918110928328803	3	3
