	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ACSL1_+_185747085.23-P1P2	4	2127	727	1786
ACSL1_-_185746686.23-P1P2	850	6	1192	4479
ACSL3_+_223725692.23-P1P2	0	0	144	0
ACSL3_+_223726215.23-P1P2	1273	1	1786	1
ACSL3_-_223725802.23-P1P2	788	0	612	1
ACSL3_-_223725834.23-P1P2	1536	2	790	3
ACSL3_-_223726162.23-P1P2	5285	2130	2569	2253
ACSL4_+_108976382.23-P1P2	1097	2657	922	3
ACSL4_-_108976096.23-P1P2	8	9244	1274	2983
ACSL4_-_108976106.23-P1P2	2	7	610	3857
ACSL4_-_108976456.23-P1P2	1182	0	2333	2396
ACSL4_-_108976463.23-P1P2	6710	3486	1677	887
ACSS2_+_33464457.23-P1P2	1372	2	1700	3211
ACSS2_-_33464420.23-P1P2	6664	3	1584	1144
ACSS2_-_33464423.23-P1P2	3	3011	2081	2398
ACSS2_-_33464453.23-P1P2	5	0	753	1491
ACSS2_-_33464808.23-P1P2	2	3	666	3969
ACTA1_+_229568301.23-P2	4565	5	3354	3522
ACTA1_+_229569744.23-P1	3	3155	875	0
ACTA1_-_229568328.23-P2	4	1	1509	3945
ACTA1_-_229568723.23-P2	1493	2495	1645	0
ACTA1_-_229568745.23-P2	919	2282	2064	4198
ACTA1_-_229568779.23-P2	2601	1	1120	1
ACTA1_-_229569627.23-P1	992	0	1377	0
ACTA1_-_229569754.23-P1	6	3995	1890	0
ACTA1_-_229569824.23-P1	1	0	1429	1584
ACTA1_-_229569839.23-P1	5903	2	2806	1
ACTR2_+_65455294.23-P1P2	3909	0	118	0
ACTR2_+_65455348.23-P1P2	1	1021	1091	1675
ACTR2_-_65454953.23-P1P2	0	0	319	0
ACTR2_-_65454971.23-P1P2	0	0	530	0
ACTR2_-_65455345.23-P1P2	1	1	735	0
ACVR1B_+_52345561.23-P1P2	1	0	462	0
ACVR1B_+_52345897.23-P1P2	0	0	0	0
ACVR1B_+_52345907.23-P1P2	2327	3	261	2
ACVR1B_-_52345530.23-P1P2	3	2	1509	1214
ACVR1B_-_52345917.23-P1P2	2414	5526	856	4
ACVR1C_+_158484889.23-P1P2	0	1767	1184	5
ACVR1C_+_158484901.23-P1P2	1188	3	2112	2896
ACVR1C_+_158484938.23-P1P2	4470	3	1777	4
ACVR1C_+_158485339.23-P1P2	5	1	2879	2997
ACVR1C_-_158485307.23-P1P2	0	0	204	0
ACVR1_+_158732079.23-P1P2	0	0	593	0
ACVR1_+_158732198.23-P1P2	4153	2	1804	1
ACVR1_+_158732232.23-P1P2	0	0	1123	0
ACVR1_+_158732258.23-P1P2	1	0	465	0
ACVR1_-_158732511.23-P1P2	569	2	2399	2720
ACVR2A_+_148602294.23-P1P2	4	0	626	1488
ACVR2A_+_148602343.23-P1P2	2	0	2104	1753
ACVR2A_+_148602346.23-P1P2	1470	1	2114	2
ACVR2A_-_148602102.23-P1P2	1621	1	1300	4837
ACVR2A_-_148602669.23-P1P2	1240	2	1964	0
ACVR2B_+_38495339.23-P1P2	3	1	1066	931
ACVR2B_+_38495450.23-P1P2	4501	2	1576	1798
ACVR2B_+_38495606.23-P1P2	3216	4789	2116	1643
ACVR2B_+_38495842.23-P1P2	1035	4888	2210	3556
ACVR2B_-_38495819.23-P1P2	4	0	1404	1
ACVRL1_+_52300726.23-P1P2	0	1	480	1459
ACVRL1_+_52300742.23-P1P2	1	1	399	1692
ACVRL1_+_52300819.23-P1P2	1528	0	757	3
ACVRL1_-_52300776.23-P1P2	1	1	1481	0
ACVRL1_-_52301119.23-P1P2	6	5487	1469	2
ACY1_+_52017535.23-P1P2	886	0	1150	1680
ACY1_+_52017980.23-P1P2	4070	3821	2944	2320
ACY1_-_52017547.23-P1P2	2754	8769	1114	6
ACY1_-_52017921.23-P1P2	0	0	207	0
ACY1_-_52017938.23-P1P2	1	1	624	1466
ACY3_+_67414985.23-P2	2982	0	1087	0
ACY3_+_67415013.23-P2	1061	0	5	1
ACY3_+_67417722.23-P1	0	0	153	0
ACY3_+_67417960.23-P1	2802	4499	1577	1270
ACY3_+_67418110.23-P1	1571	3753	2554	6350
ACY3_-_67414577.23-P2	1513	2123	1850	3010
ACY3_-_67414607.23-P2	2	1	2453	1495
ACY3_-_67414970.23-P2	1	0	1295	0
ACY3_-_67417956.23-P1	0	0	130	0
ACY3_-_67418149.23-P1	1334	2	573	1429
ACYP2_+_54342830.23-P1P2	469	4	1673	1
ACYP2_-_54342821.23-P1P2	0	0	524	0
ACYP2_-_54343153.23-P1P2	0	1	695	2
ACYP2_-_54343157.23-P1P2	3446	3	1007	2981
ACYP2_-_54343180.23-P1P2	2378	2	1292	1961
ADAM33_+_3662271.23-P1P2	2240	2	1902	1
ADAM33_+_3662642.23-P1P2	5074	4	1758	2
ADAM33_-_3662191.23-P1P2	1573	1	894	1
ADAM33_-_3662194.23-P1P2	4	5792	353	1
ADAM33_-_3662638.23-P1P2	6183	2	1730	4
ADAMTS5_+_28339356.23-P1P2	812	4939	1562	1569
