Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
SCPEP1	3	0.19232	1.8081	0.78405	0.99511	0.070586	0.49146	0.015869	0.14726	0.50762	0.9943	0.88293	1
SCTR	4	2.2686	0.2796	0.66532	0.99511	0.77978	0.99608	2.671	0.3313	0.1129	0.92557	0.74042	1
SCYL1	2	-2.1487	-2.6455	0.4422	0.96267	0.0081576	0.26388	-3.9005	-4.8009	0.23342	0.95264	1.5795e-06	5.9752e-05
SCYL2	3	0.168	1.4462	0.73432	0.99511	0.14813	0.52303	0.010238	0.086943	0.43728	0.98521	0.93072	1
SCYL3	3	3.2964	0.18769	0.56407	0.96925	0.85112	0.99608	1.5708	0.09006	0.67697	0.9943	0.92824	1
SDF2	2	-2.3523	-0.98863	0.32527	0.96267	0.32285	0.75775	1.1626	0.545	0.88978	0.9943	0.58575	1
SDHA	4	5.6432	0.042441	0.013441	0.68889	0.96615	0.99608	2.1461	0.016133	0.31586	0.97823	0.98713	1
SDSL	3	5.8295	0.036356	0.015233	0.70833	0.971	0.99608	2.3933	0.014925	0.28405	0.97823	0.98809	1
SEC14L2	5	0.19923	1.9661	0.51165	0.96267	0.049283	0.47176	0.0484	0.47135	0.75851	0.9943	0.63739	1
SEC14L3	3	0.13336	1.477	0.6129	0.99346	0.13969	0.52303	2.0192e-05	0.00022044	0.2957	0.97823	0.99982	1
SEC14L4	5	0.24792	1.9149	0.68011	0.99511	0.0555	0.47176	0.046901	0.35779	0.74776	0.9943	0.7205	1
SELE	2	-2.1604	-0.85069	0.43728	0.96267	0.39494	0.90411	0.93722	0.41276	0.97581	0.99909	0.67978	1
SELP	2	-1.9712	-0.92601	0.53002	0.96267	0.35444	0.82237	1.0455	0.56378	0.93728	0.9943	0.5729	1
SERPINA1	7	0.21507	1.9075	0.39427	0.96267	0.056461	0.47176	0.023423	0.20502	0.2836	0.97823	0.83756	1
SERPINA5	3	-1.9322	-0.27501	0.36111	0.96267	0.78331	0.99608	2.5782	0.38618	0.21281	0.94246	0.69937	1
SERPINB2	4	-3.3731	-2.3505	0.0062724	0.68889	0.01875	0.41096	-0.89687	-0.84598	0.092294	0.92557	0.39757	1
