	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
AFG3L2_-_12377212.23-P1P2	0	0	0
AFG3L2_-_12377232.23-P1P2	0	0	0
AGTR1_+_148416039.23-P1P2	1588	2	2
AGTR1_+_148416061.23-P1P2	1533	3	1999
AGTR1_-_148415743.23-P1P2	0	0	0
AGTR1_-_148415748.23-P1P2	1067	1	2
AGTR1_-_148415793.23-P1P2	0	0	0
AGTR2_+_115301983.23-P1P2	1736	0	1
AGTR2_+_115302459.23-P1P2	0	0	0
AGTR2_-_115301994.23-P1P2	0	0	0
AGTR2_-_115302232.23-P1P2	0	0	0
AGTR2_-_115302383.23-P1P2	1425	1	0
AGXT2_+_35048018.23-P1P2	0	0	0
AGXT2_-_35047934.23-P1P2	2661	1	1557
AGXT2_-_35047958.23-P1P2	0	0	0
AGXT2_-_35047966.23-P1P2	0	0	0
AGXT2_-_35048026.23-P1P2	0	0	0
AGXT_+_241808192.23-P1P2	0	0	0
AGXT_+_241808286.23-P1P2	2735	1	0
AGXT_+_241808483.23-P1P2	106	0	0
AGXT_+_241808706.23-P1P2	0	0	0
AGXT_-_241808273.23-P1P2	857	0	0
AHCY_-_32890731.23-P1P2	1140	1477	1970
AHCY_-_32890950.23-P1P2	1483	2	3
AHCY_-_32891095.23-P1P2	3449	4884	3434
AHCY_-_32891101.23-P1P2	0	0	0
AHCY_-_32891145.23-P1P2	1750	0	1558
AK1_+_130639930.23-P1P2	2460	2	1302
AK1_+_130639945.23-P1P2	2096	1350	1136
AK1_-_130639512.23-P1P2	0	0	0
AK1_-_130639710.23-P1P2	2518	0	1183
AK1_-_130639906.23-P1P2	2471	2618	1434
AK2_+_33502042.23-P1P2	1364	2	954
AK2_+_33502056.23-P1P2	0	0	0
AK2_+_33502088.23-P1P2	0	0	0
AK2_+_33502194.23-P1P2	1115	2	2269
AK2_+_33502475.23-P1P2	1068	2190	1
AK3_+_4740766.23-P1P2	3037	5	4
AK3_+_4740798.23-P1P2	4991	4	1
AK3_-_4740765.23-P1P2	2537	4476	1427
AK3_-_4741156.23-P1P2	1201	3831	5
AK3_-_4741205.23-P1P2	3112	0	2
AK4_+_65613321.23-P1P2	3920	2	3
AK4_+_65614269.23-P1P2	6286	10015	3350
AK4_-_65613240.23-P1P2	742	0	0
AK4_-_65613440.23-P1P2	1656	4776	1486
AK4_-_65613504.23-P1P2	1224	0	0
AK5_-_77747738.23-P1P2	2358	7389	1850
AK5_-_77747887.23-P1P2	483	0	0
AK5_-_77748084.23-P1P2	456	3	2119
AK5_-_77748096.23-P1P2	1142	2	1620
AK5_-_77748351.23-P1P2	77	4595	4
AK7_+_96858465.23-P1P2	2416	8946	1238
AK7_+_96858485.23-P1P2	896	3	2153
AK7_+_96858941.23-P1P2	0	0	0
AK7_-_96858547.23-P1P2	0	0	0
AK7_-_96858913.23-P1P2	0	0	0
AK8_+_135753659.23-P1P2	0	0	0
AK8_+_135753664.23-P1P2	0	0	0
AK8_-_135753610.23-P1P2	953	0	0
AK8_-_135753634.23-P1P2	3460	2	2566
AK8_-_135754341.23-P1P2	1324	2	3630
AKAP10_+_19881070.23-P1P2	943	991	3
AKAP10_+_19881078.23-P1P2	1726	1	1333
AKAP10_+_19881106.23-P1P2	2641	2746	1
AKAP10_+_19881109.23-P1P2	0	0	0
