Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
AKAP4	2	3.9602	0.1168	0.47022	0.96351	0.90702	0.99584	0.32178	0.0087848	0.80206	0.99612	0.99299	1
AKAP5	3	-1.8449	-0.18468	0.37573	0.96351	0.85348	0.99584	3.1457	0.31484	0.042544	0.96571	0.75288	1
AKAP6	1	-2.1863	-0.15883	0.52709	0.96351	0.8738	0.99584	2.7042	0.19549	0.46529	0.97525	0.84501	1
AKAP7	5	4.7226	0.11177	0.090013	0.96351	0.91101	0.99584	2.0132	0.047642	0.32647	0.96571	0.962	1
AKAP8L	3	0.32724	1.2714	0.87282	0.99483	0.20359	0.5729	0.11104	0.41838	0.77206	0.99612	0.67567	1
AKAP8	4	3.4396	0.22522	0.47828	0.96351	0.82181	0.99584	1.4731	0.096488	0.64487	0.99612	0.92313	1
AKAP9	4	1.3574	0.54911	0.89028	0.99483	0.58293	0.99584	1.0194	0.41638	0.83609	0.99612	0.67713	1
AKR1A1	2	4.4426	0.064055	0.35737	0.96351	0.94893	0.99584	0.90336	0.013016	0.97179	0.99774	0.98961	1
AKR1B10	3	0.13742	1.4649	0.60905	0.98266	0.14296	0.50888	0.020633	0.2169	0.54277	0.98701	0.82829	1
AKR1B1	5	3.2824	0.2901	0.46664	0.96351	0.77174	0.99584	1.0078	0.089035	0.75504	0.99612	0.92905	1
AKT1	2	-1.9326	-0.15646	0.54859	0.96351	0.87567	0.99584	3.0838	0.25392	0.12181	0.96571	0.79955	1
AKT2	3	0.3577	1.2813	0.897	0.99483	0.2001	0.56991	0.064376	0.22385	0.70578	0.99612	0.82287	1
AKT3	4	0.27328	1.3565	0.78773	0.99211	0.17495	0.52465	0.028309	0.13888	0.58531	0.9909	0.88955	1
ALAS1	3	3.7784	0.15012	0.44245	0.96351	0.88067	0.99584	0.3377	0.01314	0.9167	0.99612	0.98952	1
ALAS2	3	2.1402	0.40092	0.83206	0.99211	0.68848	0.99584	1.6789	0.3161	0.59875	0.99484	0.75193	1
ALDH18A1	3	5.2008	0.058281	0.094044	0.96351	0.95352	0.99584	1.5236	0.017072	0.67085	0.99612	0.98638	1
ALDH1A2	5	3.5683	0.2085	0.3914	0.96351	0.83484	0.99584	2.4827	0.14605	0.12494	0.96571	0.88388	1
ALDH1B1	3	0.13282	1.4748	0.58083	0.97739	0.14025	0.50888	0.012556	0.13748	0.44828	0.97525	0.89065	1
ALDH1L1	4	4.4255	0.14042	0.19928	0.96351	0.88833	0.99584	1.8197	0.057736	0.47156	0.97525	0.95396	1
ALDH3A1	4	2.7133	0.39569	0.6086	0.98265	0.69233	0.99584	-4.4565	-0.55526	0.017465	0.92063	0.57872	1
ALDH3A2	4	2.4985	0.37921	0.63726	0.98316	0.70453	0.99584	0.3183	0.048012	0.96731	0.99769	0.96171	1
ALDH3B1	2	3.8641	0.10382	0.48903	0.96351	0.91731	0.99584	1.8607	0.049993	0.63547	0.99612	0.96013	1
ALDH4A1	4	0.38374	1.2341	0.91984	0.99483	0.21718	0.57496	0.16518	0.51586	0.89163	0.99612	0.60595	1
ALDH5A1	5	4.1158	0.16226	0.24272	0.96351	0.8711	0.99584	1.6451	0.064821	0.51276	0.98512	0.94832	1
ALDH9A1	3	-2.0789	-0.65049	0.31258	0.96351	0.51538	0.99584	1.8761	0.60376	0.50381	0.98512	0.546	1
ALK	2	4.093	0.11524	0.44156	0.96351	0.90825	0.99584	0.52306	0.014721	0.8876	0.99612	0.98826	1
ALLC	2	3.619	0.1343	0.54635	0.96351	0.89316	0.99584	1.474	0.054673	0.77026	0.99612	0.9564	1
ALOX5	5	0.2131	1.9423	0.56202	0.96762	0.052097	0.45508	0.0070724	0.063641	0.17734	0.96571	0.94926	1
ALPI	3	5.5097	0.040913	0.040305	0.89189	0.96737	0.99584	2.6306	0.019523	0.17555	0.96571	0.98442	1
ALPK1	1	-2.844	-2.113	0.11867	0.96351	0.034603	0.44273	-4.4741	-3.3187	0.32781	0.96571	0.00090447	0.017562
ALPK2	1	-2.8527	-2.1316	0.11151	0.96351	0.03304	0.44273	-4.2031	-3.1257	0.44111	0.97525	0.0017737	0.031685
ALPK3	3	-2.1835	-1.1549	0.27407	0.96351	0.24814	0.58697	1.2419	0.70301	0.79624	0.99612	0.48205	1
