sgRNA	Gene	Diff	Lower	Upper
AKT1_+_105261975.23-P1P2	AKT1	1188	0	3135
AKT1_+_105262020.23-P1P2	AKT1	2684	4	3526
AKT2_+_40791162.23-P1P2	AKT2	2518	1	1
AKT2_+_40791298.23-P1P2	AKT2	1102	0	1
AKT2_-_40791188.23-P1P2	AKT2	2751	2645	2662
AKT3_+_244013158.23-P1P2	AKT3	3930	2	305
AKT3_-_244013164.23-P1P2	AKT3	1460	1	1
AKT3_-_244013352.23-P1P2	AKT3	2887	14288	3566
AKT3_-_244013548.23-P1P2	AKT3	4437	5	3697
ALAS1_+_52232183.23-P1P2	ALAS1	1303	1	1
ALAS1_+_52232583.23-P1P2	ALAS1	1566	2606	3
ALAS1_+_52232611.23-P1P2	ALAS1	2788	3771	3214
ALAS2_-_55056927.23-P1P2	ALAS2	2725	1	1642
ALAS2_-_55057349.23-P1P2	ALAS2	3263	30	887
ALAS2_-_55057412.23-P1P2	ALAS2	3402	3098	3339
ALDH18A1_+_97416086.23-P1P2	ALDH18A1	1129	8608	2002
ALDH18A1_+_97416090.23-P1P2	ALDH18A1	2870	1469	1348
ALDH18A1_+_97416448.23-P1P2	ALDH18A1	2860	5805	4
ALDH1A2_+_58357459.23-P1P2	ALDH1A2	1335	3	6101
ALDH1A2_+_58357493.23-P1P2	ALDH1A2	2331	3954	1770
ALDH1A2_-_58357473.23-P1P2	ALDH1A2	763	1	0
ALDH1A2_-_58357549.23-P1P2	ALDH1A2	4943	6741	1074
ALDH1A2_-_58357877.23-P1P2	ALDH1A2	1993	2	3748
ALDH1B1_+_38392764.23-P1P2	ALDH1B1	1352	0	0
ALDH1B1_+_38393145.23-P1P2	ALDH1B1	1214	6	1297
ALDH1B1_-_38393107.23-P1P2	ALDH1B1	192	5231	1841
ALDH1L1_+_125899006.23-P1P2	ALDH1L1	4588	4865	1471
ALDH1L1_-_125899035.23-P1P2	ALDH1L1	4663	3884	1596
ALDH1L1_-_125899333.23-P1P2	ALDH1L1	6969	5763	2886
ALDH1L1_-_125899391.23-P1P2	ALDH1L1	1315	1394	1938
ALDH3A1_+_19651570.23-P1P2	ALDH3A1	1685	758	2
ALDH3A1_+_19651582.23-P1P2	ALDH3A1	867	2303	1
ALDH3A1_+_19651663.23-P1P2	ALDH3A1	1718	1	3
ALDH3A1_-_19651612.23-P1P2	ALDH3A1	2589	2	2
ALDH3A2_+_19552078.23-P1P2	ALDH3A2	1841	3	2334
ALDH3A2_-_19552105.23-P1P2	ALDH3A2	680	1	1
ALDH3A2_-_19552301.23-P1P2	ALDH3A2	1360	3	0
ALDH3A2_-_19552304.23-P1P2	ALDH3A2	1667	3069	2
ALDH3B1_+_67777856.23-P1P2	ALDH3B1	2989	7	2035
ALDH3B1_+_67778195.23-P1P2	ALDH3B1	4777	7190	1458
ALDH4A1_-_19228763.23-P1P2	ALDH4A1	1324	2780	0
ALDH4A1_-_19228783.23-P1P2	ALDH4A1	1306	3	2349
ALDH4A1_-_19228972.23-P1P2	ALDH4A1	2346	3	3058
ALDH4A1_-_19229034.23-P1P2	ALDH4A1	1643	3	0
ALDH5A1_+_24495207.23-P1P2	ALDH5A1	1337	5112	1358
ALDH5A1_+_24495265.23-P1P2	ALDH5A1	2523	1	8
ALDH5A1_+_24495477.23-P1P2	ALDH5A1	466	0	1954
