Gene	sgRNA	eff
AKAP3	AKAP3_-_4754248.23-P2	1
AKAP4	AKAP4_+_49965047.23-P1P2	1
AKAP4	AKAP4_+_49965636.23-P1P2	1
AKAP5	AKAP5_+_64932286.23-P1P2	1
AKAP5	AKAP5_-_64932236.23-P1P2	1
AKAP5	AKAP5_-_64932248.23-P1P2	1
AKAP6	AKAP6_-_32798545.23-P1P2	1
AKAP7	AKAP7_+_131456600.23-P1P2	1
AKAP7	AKAP7_+_131456616.23-P1P2	1
AKAP7	AKAP7_-_131456586.23-P1P2	1
AKAP7	AKAP7_-_131456595.23-P1P2	1
AKAP7	AKAP7_-_131456599.23-P1P2	1
AKAP8L	AKAP8L_+_15529720.23-P1P2	1
AKAP8L	AKAP8L_+_15529754.23-P1P2	1
AKAP8L	AKAP8L_-_15529435.23-P1P2	1
AKAP8	AKAP8_+_15490522.23-P1P2	1
AKAP8	AKAP8_+_15490538.23-P1P2	1
AKAP8	AKAP8_+_15490555.23-P1P2	1
AKAP8	AKAP8_+_15490566.23-P1P2	1
AKAP9	AKAP9_+_91570225.23-P1P2	1
AKAP9	AKAP9_+_91570245.23-P1P2	1
AKAP9	AKAP9_+_91570248.23-P1P2	1
AKAP9	AKAP9_-_91570233.23-P1P2	1
AKR1A1	AKR1A1_+_46017142.23-P1P2	1
AKR1A1	AKR1A1_-_46016934.23-P1P2	1
AKR1B10	AKR1B10_+_134212298.23-P1P2	1
AKR1B10	AKR1B10_+_134212752.23-P1P2	1
AKR1B10	AKR1B10_-_134212336.23-P1P2	1
AKR1B1	AKR1B1_+_134143398.23-P1P2	1
AKR1B1	AKR1B1_+_134143462.23-P1P2	1
AKR1B1	AKR1B1_+_134143839.23-P1P2	1
AKR1B1	AKR1B1_-_134143472.23-P1P2	1
AKR1B1	AKR1B1_-_134143848.23-P1P2	1
AKT1	AKT1_+_105261975.23-P1P2	1
AKT1	AKT1_+_105262020.23-P1P2	1
AKT2	AKT2_+_40791162.23-P1P2	1
AKT2	AKT2_+_40791298.23-P1P2	1
AKT2	AKT2_-_40791188.23-P1P2	1
AKT3	AKT3_+_244013158.23-P1P2	1
AKT3	AKT3_-_244013164.23-P1P2	1
AKT3	AKT3_-_244013352.23-P1P2	1
AKT3	AKT3_-_244013548.23-P1P2	1
ALAS1	ALAS1_+_52232183.23-P1P2	1
ALAS1	ALAS1_+_52232583.23-P1P2	1
ALAS1	ALAS1_+_52232611.23-P1P2	1
ALAS2	ALAS2_-_55056927.23-P1P2	1
ALAS2	ALAS2_-_55057349.23-P1P2	1
ALAS2	ALAS2_-_55057412.23-P1P2	1
ALDH18A1	ALDH18A1_+_97416086.23-P1P2	1
ALDH18A1	ALDH18A1_+_97416090.23-P1P2	1
ALDH18A1	ALDH18A1_+_97416448.23-P1P2	1
ALDH1A2	ALDH1A2_+_58357459.23-P1P2	1
ALDH1A2	ALDH1A2_+_58357493.23-P1P2	1
ALDH1A2	ALDH1A2_-_58357473.23-P1P2	1
ALDH1A2	ALDH1A2_-_58357549.23-P1P2	1
ALDH1A2	ALDH1A2_-_58357877.23-P1P2	1
ALDH1B1	ALDH1B1_+_38392764.23-P1P2	1
ALDH1B1	ALDH1B1_+_38393145.23-P1P2	1
ALDH1B1	ALDH1B1_-_38393107.23-P1P2	1
ALDH1L1	ALDH1L1_+_125899006.23-P1P2	1
ALDH1L1	ALDH1L1_-_125899035.23-P1P2	1
ALDH1L1	ALDH1L1_-_125899333.23-P1P2	1
ALDH1L1	ALDH1L1_-_125899391.23-P1P2	1
ALDH3A1	ALDH3A1_+_19651570.23-P1P2	1
ALDH3A1	ALDH3A1_+_19651582.23-P1P2	1
ALDH3A1	ALDH3A1_+_19651663.23-P1P2	1
ALDH3A1	ALDH3A1_-_19651612.23-P1P2	1
ALDH3A2	ALDH3A2_+_19552078.23-P1P2	1
ALDH3A2	ALDH3A2_-_19552105.23-P1P2	1
ALDH3A2	ALDH3A2_-_19552301.23-P1P2	1
ALDH3A2	ALDH3A2_-_19552304.23-P1P2	1
ALDH3B1	ALDH3B1_+_67777856.23-P1P2	1
ALDH3B1	ALDH3B1_+_67778195.23-P1P2	1
ALDH4A1	ALDH4A1_-_19228763.23-P1P2	1
ALDH4A1	ALDH4A1_-_19228783.23-P1P2	1
ALDH4A1	ALDH4A1_-_19228972.23-P1P2	1
ALDH4A1	ALDH4A1_-_19229034.23-P1P2	1
ALDH5A1	ALDH5A1_+_24495207.23-P1P2	1
ALDH5A1	ALDH5A1_+_24495265.23-P1P2	1
ALDH5A1	ALDH5A1_+_24495477.23-P1P2	1
ALDH5A1	ALDH5A1_+_24495537.23-P1P2	1
ALDH5A1	ALDH5A1_+_24495662.23-P1P2	1
ALDH9A1	ALDH9A1_-_165667740.23-P1P2	1
ALDH9A1	ALDH9A1_-_165667761.23-P1P2	1
ALDH9A1	ALDH9A1_-_165667803.23-P1P2	1
ALK	ALK_+_30144436.23-P1P2	1
ALK	ALK_-_30144392.23-P1P2	1
ALLC	ALLC_-_3705832.23-P1P2	1
ALLC	ALLC_-_3706094.23-P1P2	1
ALOX5	ALOX5_+_45869730.23-P1P2	1
ALOX5	ALOX5_+_45869734.23-P1P2	1
ALOX5	ALOX5_-_45870075.23-P1P2	1
ALOX5	ALOX5_-_45870079.23-P1P2	1
ALOX5	ALOX5_-_45870102.23-P1P2	1
ALPI	ALPI_+_233320899.23-P1P2	1
ALPI	ALPI_+_233321300.23-P1P2	1
ALPI	ALPI_-_233321239.23-P1P2	1
ALPK1	ALPK1_+_113218522.23-P1P2	1
ALPK2	ALPK2_+_56296241.23-ENST00000361673.3	1
ALPK3	ALPK3_-_85360394.23-P1P2	1
ALPK3	ALPK3_-_85360414.23-P1P2	1
ALPK3	ALPK3_-_85360833.23-P1P2	1
ALPL	ALPL_+_21835943.23-P1	1
ALPL	ALPL_+_21835964.23-P1	1
ALPL	ALPL_+_21836361.23-P1	1
ALPL	ALPL_+_21877779.23-P2	1
ALPL	ALPL_-_21836424.23-P1	1
ALPL	ALPL_-_21877787.23-P2	1
ALPL	ALPL_-_21877856.23-P2	1
ALPL	ALPL_-_21877871.23-P2	1
ALPPL2	ALPPL2_+_233271563.23-P1P2	1
ALPPL2	ALPPL2_+_233271588.23-P1P2	1
ALPPL2	ALPPL2_+_233271948.23-P1P2	1
AMHR2	AMHR2_+_53818923.23-P1P2	1
AMHR2	AMHR2_+_53819137.23-P1P2	1
AMHR2	AMHR2_+_53819383.23-P1P2	1
AMN	AMN_+_103389039.23-P1	1
AMN	AMN_+_103389216.23-P1	1
AMN	AMN_+_103395231.23-P2	1
AMN	AMN_+_103395370.23-P2	1
AMN	AMN_+_103395419.23-P2	1
AMN	AMN_-_103389029.23-P1	1
AMN	AMN_-_103389087.23-P1	1
AMN	AMN_-_103395024.23-P2	1
AMN	AMN_-_103395326.23-P2	1
AMT	AMT_+_49459848.23-P1P2	1
AMT	AMT_+_49459858.23-P1P2	1
AMT	AMT_+_49459861.23-P1P2	1
AMT	AMT_-_49459857.23-P1P2	1
AMY2A	AMY2A_+_104159553.23-P1P2	1
AMY2A	AMY2A_-_104159734.23-P1P2	1
ANKK1	ANKK1_+_113258562.23-P1P2	1
ANKK1	ANKK1_+_113258924.23-P1P2	1
ANKK1	ANKK1_-_113258522.23-P1P2	1
ANXA2	ANXA2_+_60689732.23-P1P2	1
ANXA2	ANXA2_+_60690063.23-P1P2	1
ANXA2	ANXA2_-_60689707.23-P1P2	1
ANXA2	ANXA2_-_60689776.23-P1P2	1
ANXA2	ANXA2_-_60690116.23-P1P2	1
ANXA3	ANXA3_+_79472940.23-P1P2	1
ANXA3	ANXA3_+_79473255.23-P1P2	1
ANXA3	ANXA3_-_79473131.23-P1P2	1
ANXA3	ANXA3_-_79473265.23-P1P2	1
ANXA5	ANXA5_-_122617573.23-P1P2	1
ANXA5	ANXA5_-_122617717.23-P1P2	1
ANXA5	ANXA5_-_122618086.23-P1P2	1
APCS	APCS_-_159557638.23-P1P2	1
APOE	APOE_-_45409117.23-P1P2	1
APOE	APOE_-_45409137.23-P1P2	1
APOH	APOH_+_64223962.23-P2	1
APOH	APOH_+_64224202.23-P2	1
APOH	APOH_+_64225521.23-P1	1
APOH	APOH_-_64224067.23-P2	1
APOH	APOH_-_64225455.23-P1	1
APOH	APOH_-_64225487.23-P1	1
APOH	APOH_-_64225515.23-P1	1
APOH	APOH_-_64225529.23-P1	1
APRT	APRT_+_88877892.23-P1P2	1
APRT	APRT_+_88877930.23-P1P2	1
APRT	APRT_-_88878302.23-P1P2	1
APRT	APRT_-_88878308.23-P1P2	1
ARAF	ARAF_+_47420611.23-P1P2	1
ARAF	ARAF_-_47420581.23-P1P2	1
ARAF	ARAF_-_47420629.23-P1P2	1
ARAF	ARAF_-_47420650.23-P1P2	1
ARAF	ARAF_-_47420655.23-P1P2	1
ARF1	ARF1_-_228270444.23-P1P2	1
ARF1	ARF1_-_228270479.23-P1P2	1
ARF1	ARF1_-_228270510.23-P1P2	1
ARF1	ARF1_-_228270878.23-P1P2	1
ARF6	ARF6_-_50360206.23-P1	1
ARF6	ARF6_-_50360232.23-P1	1
ARF6	ARF6_-_50361209.23-P2	1
ARHGAP26	ARHGAP26_+_142150361.23-P1P2	1
ARHGAP26	ARHGAP26_-_142149986.23-P1P2	1
ARL1	ARL1_+_101801468.23-P1P2	1
ARL1	ARL1_+_101801483.23-P1P2	1
ARL3	ARL3_+_104474074.23-P1P2	1
ARL3	ARL3_+_104474107.23-P1P2	1
ARL3	ARL3_-_104474009.23-P1P2	1
ARL3	ARL3_-_104474089.23-P1P2	1
