	differentiation	lower	upper	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1
sgId				
ACACB_+_109592655.23-P2	-7.68138959811213			
ACACB_+_109592908.23-P2	-7.887410398056356			
ACACB_-_109569178.23-P1	-0.81166518194313	0.03623822340595595	-7.214946684481024	
ACACB_-_109569231.23-P1	1.9114942946480358	-1.881499754439556	-10.136091263769785	
ACACB_-_109569639.23-P1	0.3255487754511317	10.28518891571773	-10.598957288139243	-20.725404815084822
ACACB_-_109592496.23-P2	1.5114084742440723	-1.8450200601728248	-0.5450227178254166	1.4583129406209903
ACACB_-_109592519.23-P2	-0.8501253293553761	-0.9483683224706692	-9.201239265060426	
ACAD8_+_134123511.23-P1P2	1.4879731876435578	-2.0655640571169034	-0.40726623021717195	1.8166134251733137
ACAD8_-_134123448.23-P1P2	-1.053980161730981	-1.2816009834135276	0.8788009783046442	2.318409324750567
ACAD8_-_134123455.23-P1P2	0.6524902272415101	-0.37922453602066675	-9.633816045350894	
ACAD8_-_134123502.23-P1P2	-8.678160887236256		9.528231012903962	2.5073504339295436
ACAD8_-_134123507.23-P1P2	-8.23593270295543		9.519395786007035	2.91355270631146
ACADSB_+_124768874.23-P1P2	-0.20499961584584664	10.577925919928125	1.053140213191236	-9.366470108463307
ACADSB_+_124768891.23-P1P2	-9.306635694298633			
ACADSB_+_124768941.23-P1P2	2.380156610626684	9.842952558395998	-9.774678581190745	-19.45931554131316
ACADSB_+_124768944.23-P1P2	-9.053602680622339			
ACADSB_-_124768552.23-P1P2	0.6421212638554239	11.164068163335184	-8.56524329252153	-19.570995857583128
ACADS_+_121163685.23-P1P2	0.4619656369030536	10.68298694971883	-9.096705838327642	-19.621377189772893
ACADS_+_121164090.23-P1P2				
ACADS_-_121163653.23-P1P2	0.36765625517928024	9.402173324827967	1.375825137235826	-7.86803258931856
ACADS_-_121163657.23-P1P2	0.15800554354272478	10.168173475651214	1.0888875227833041	-8.920970354594328
ACADS_-_121163671.23-P1P2	-6.1523075479073395	17.537297884688847	8.2084053750068	-9.170576911408464
ACAN_+_89347139.23-P1P2	1.432569563506527	-0.3259537416951339	-8.583189972280927	
ACAN_+_89347148.23-P1P2	-7.657542856157762			
ACAN_+_89347151.23-P1P2	-8.56268366981632			
ACAN_-_89346701.23-P1P2	-8.826009853392213	19.76802790994821		-20.100145143035704
ACAN_-_89347101.23-P1P2	-1.0290876388196841	-0.14273191763936488	1.8141593313711009	2.115206847284046
ACAT1_+_107992288.23-P1P2	-8.693166765888483			
ACAT1_+_107992310.23-P1P2	0.7987821084813713	1.2284512920500523	2.2992901735134925	1.229154479737021
ACAT1_+_107992321.23-P1P2	1.1039251392784433	-0.9506592241682288	-9.205250733498458	
ACAT1_-_107992364.23-P1P2	-0.5384178617226812	-1.5223990836388026	1.9702593334821392	3.6502384100818155
ACAT1_-_107992733.23-P1P2	1.1448915652735057	9.364030218021494	0.9060121136616561	-8.299702506086255
ACAT2_+_160183436.23-P1P2	-7.025930262137784			
ACAT2_+_160183505.23-P1P2	1.9162518537080893	-1.7544944777042346	-11.009085987034464	
ACAT2_-_160183054.23-P1P2	-6.361609969803344	18.57151360002676		-20.225558928001615
ACAT2_-_160183095.23-P1P2	-0.054296194664120834	-1.6313754574931476	-9.885966966823377	
ACAT2_-_160183174.23-P1P2	-0.460621122337432	-1.0781916654446526	0.455058872692337	1.6916266483347844
ACCS_+_44087946.23-P1P2	0.3668597880132257	-0.568996672341461	3.1262385290874195	3.8535507997024627
