	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
BLK	0.37650126080187063	5.221058525425466	2	2	0.08370306857074118	2.131666267863312	2	2
BLVRA	0.2804628689735923	8.729449313923727	8	8	0.9174049310774036	-9.834711450272396	8	8
BLVRB	0.3052533099247886	-1.1246804327050892	2	2	0.28363427040708045	1.2381775110908304	2	2
BMP2K	0.911591622193438	-0.1256464409802227	1	1	0.3625818713444412	-9.034659346017706	1	1
BMPR1A	0.55722694576323	3.2447694547806316	2	2	0.9812684812748693	0.055180404184510645	2	2
BMPR1B	0.5493231352765601	3.3187960708360156	3	3	0.029367168154228893	2.0957937489979903	3	3
BMPR2	0.8484485726517723	-0.099639620564188	3	3	0.7792644331768246	-4.130683218563713	3	3
BMX	0.4849227716542278	5.159890746723149	4	4	0.3879255303064266	-5.739347273163536	4	4
BPHL	0.5861473849571939	4.550060788108984	4	4	0.45120951327413994	-1.9877887610374245	4	4
BPI	0.6014368415699478	2.662072267432551	3	3	0.9289394330539544	-2.345994169654306	3	3
BRAF	0.17090006988278983	6.997328800291182	4	4	0.33036897027656753	-1.187515565666309	4	4
BRD2	0.027811968628283397	11.528265740615373	6	6	0.24778580370164172	-4.315452192180172	6	6
BRD3	0.8907975854497414	5.706600334349145	5	5	0.9608922154201479	-4.422903420223885	5	5
BRD4			0	0			0	0
BRDT	0.9289394869608862	3.077077154215912	3	3	0.3793725999378029	-1.3693803731858816	3	3
BRSK1	0.2595946583172707	-1.0163928003229667	4	4	0.6090484556919864	-5.904695458166455	4	4
BRSK2	0.9937556553556648	4.607464413081917	2	2	0.3765008908201064	1.0286624649728306	2	2
BST1	0.7792645967221339	3.7162969620141375	3	3	0.6835110441368082	-1.8460813027746452	3	3
BTK	0.9087154244859418	2.839560544829375	3	3	0.7213035919898935	-2.0910405834798627	3	3
BUB1			0	0			0	0
BUB1B			0	0			0	0
C17orf75	0.5861473849571939	5.720470480925123	4	4	0.1390591171862447	-1.114993682416807	4	4
C1QA	0.600031123579649	4.635473508539918	2	2	0.2435717950322891	1.3548953791428455	2	2
C1QB	0.5751009091417094	0.9193798757394251	3	3	0.2903238499882219	-1.4146161304933054	3	3
C1QC	0.4477676677875029	-0.7771789294874756	2	2	0.18080447969509694	-8.684921297198553	2	2
C1R	0.6556723329678809	3.2621931211475133	3	3	0.10844385443075966	-8.65167546249994	3	3
C1S	0.9188208908912462	2.6334919368515526	3	3	0.7695086763516427	-5.08106350627853	3	3
C3	0.3523649908901264	6.1590836826505635	3	3	0.028432818461826742	-9.592278226358578	3	3
C4A	0.45451996796426486	8.509763399248408	4	4	0.7455920838764607	-2.856522490417806	4	4
C4B	0.45451996796426486	8.509763399248408	4	4	0.7455920838764607	-2.856522490417806	4	4
C5	0.5261313159168926	5.128441145357037	2	2	0.3681126361127579	-8.034806898795162	2	2
C8G	0.7623016696162777	3.5528652209635374	4	4	0.787572430225917	-5.104595597051289	4	4
C9orf96	0.745592267185901	2.3308960898775815	4	4	0.5379481112871735	-6.336512597625695	4	4
CA1	0.09147384018172652	12.349229301570611	1	1	0.1050055227180791	3.768181838720086	1	1
CA10	0.5562493771843942	1.9350679361102217	4	4	0.9167835608496743	-2.3953273166129287	4	4
CA11	0.3303693312119407	1.9085657170080215	4	4	0.20396654296490413	-6.914544429616952	4	4
CA12	0.702315530603703	5.7407296494508415	3	3	0.3081119401062373	-6.005972488171104	3	3
CA13	0.8177345663940021	5.801084347542859	5	5	0.9882633777204696	-2.6545049947302424	5	5
CA14			0	0			0	0
CA2	0.47557743448155543	3.1693185509867554	3	3	0.6014365649954452	-3.0232011386020736	3	3
CA3	0.5343251909788127	4.813092581844644	4	4	0.5861471054037536	-6.297978983457864	4	4
CA4	0.41487040287641996	6.245587191950967	3	3	0.6835110441368082	-2.064718663479366	3	3
CA5A	0.881963807732946	0.35024268687373183	4	4	0.40631836932311727	-1.7086608647382686	4	4
CA5B	0.3523649908901264	4.313360468786516	3	3	0.42219815884497036	-1.4553051200787017	3	3
CA6	0.2284584116841577	-1.3915201279888414	4	4	0.6560011285552952	-5.672048885775767	4	4
CA7	0.5937367296846481	1.6411286513972627	4	4	0.471275986177486	0.7885381676714047	4	4
CA8	0.9492095536471424	0.6042368394939617	3	3	0.24116874517782105	-0.7186072871766775	3	3
CA9	0.6464956225169609	5.683374083190977	3	3	0.9087153553567827	-2.484206784843407	3	3
CACNA1A	0.6103348841762416	3.154581728440803	3	3	0.6741811441972977	-1.7866843486838164	3	3
CACNA1B	0.9898353156208693	5.080875695725402	3	3	0.646495371963882	-2.9175411020438915	3	3
CACNA1C	0.621976598269959	-0.5320188825706955	2	2	0.8817919266718723	-3.479833006825932	2	2
CACNA1D	0.1263173876208534	7.22994474873844	3	3	0.021837560705091803	2.1468460711909985	3	3
CACNA1I	0.7213037951321294	3.293340117282369	3	3	0.4148700479863273	-1.518863916507114	3	3
CACNA1S	0.13607526409677123	-1.3590539611378325	3	3	0.37250400923988813	-5.872389054163655	3	3
CACNA2D1	0.548892788182638	2.1426234628841425	4	4	0.5786030647682013	-5.402587732049788	4	4
