	lower	upper
	Rep1	Rep1
sgId		
ADCK5_-_145597191.23-P1P2	-0.31701986168656937	-8.22476222939765
ADCK5_-_145597250.23-P1P2	-0.6246282852568648	-8.53416840403034
ADCK5_-_145597781.23-P1P2	8.005397246850306	0.5211539571662664
ADCK5_-_145597789.23-P1P2		
ADC_+_33546832.23-P1P2	-1.224306204119923	-9.132048571831003
ADC_+_33546850.23-P1P2	10.629886412769828	-9.639799728676493
ADC_+_33546977.23-P1P2		
ADC_-_33546826.23-P1P2	9.5409097398553	-7.973700465229931
ADC_-_33546829.23-P1P2		
ADH1B_+_100242040.23-P1P2		
ADH1B_+_100242511.23-P1P2		
ADH1B_-_100242120.23-P1P2		
ADH1B_-_100242280.23-P1P2		
ADH1B_-_100242333.23-P1P2		
ADH1C_+_100273655.23-P1P2	9.327396342326557	-1.0064575708217927
ADH1C_-_100273471.23-P1P2		
ADH1C_-_100273518.23-P1P2		
ADH1C_-_100273879.23-P1P2	-1.5597823100689645	1.0372943098527978
ADH1C_-_100273923.23-P1P2	-0.5826493768636141	-0.04606701832760418
ADH4_+_100065429.23-P1P2		
ADH4_+_100065433.23-P1P2	-1.4529032897683436	-9.360645657479422
ADH4_+_100065444.23-P1P2	11.249074888030108	-6.694841092234454
ADH4_+_100065450.23-P1P2		
ADH4_-_100065227.23-P1P2		
ADH5_+_100009684.23-P1P2		
ADH5_+_100009798.23-P1P2		
ADH5_+_100009821.23-P1P2	-1.3907977878261182	1.5031682033792655
ADH5_+_100009838.23-P1P2	-1.6793425441674934	-9.587084911878572
ADH5_-_100009831.23-P1P2		
ADK_+_75911404.23-P2		
ADK_+_75911444.23-P2	-1.3876212103059409	1.516813727497429
ADK_+_75936517.23-P1	0.26072498475333994	0.8869611890446127
ADK_+_75936538.23-P1	-3.058986136911143	-9.966395664606699
ADK_+_75936570.23-P1	10.0927298390013	0.6595061957907591
ADK_+_75936748.23-P1		
ADK_-_75911021.23-P2		
ADK_-_75911025.23-P2		
ADK_-_75911437.23-P2	-0.46299916750385073	-7.370741535214928
ADK_-_75936578.23-P1		
ADORA1_+_203096891.23-P1P2	-3.087326877756011	-8.187714323409487
ADORA1_+_203097450.23-P1P2	-0.9662094957643355	0.2611160823024026
ADORA1_+_203097472.23-P1P2	9.709059043821608	0.9057905082077624
ADORA1_+_203097506.23-P1P2		
ADORA1_-_203096974.23-P1P2		
ADORA2A_+_24820308.23-P1P2	0.7672113913584591	2.290182909439319
ADORA2A_-_24819888.23-P1P2	9.072656826498083	-8.844914158581105
ADORA2A_-_24819903.23-P1P2		
ADORA2A_-_24819947.23-P1P2	10.537098915874793	1.0922986780928077
ADORA2A_-_24820281.23-P1P2		
ADORA2B_+_15848686.23-P1P2	0.297463883302413	1.970451167190292
ADORA2B_+_15848965.23-P1P2		
ADORA2B_-_15848659.23-P1P2	7.771990472600362	-10.231148917903274
ADORA2B_-_15848791.23-P1P2		
ADORA2B_-_15848949.23-P1P2	-0.671527746023397	1.1806180694873591
ADORA3_+_112031013.23-P1		
ADORA3_+_112031386.23-P1	15.703189664711768	6.995436581643003
ADORA3_+_112031407.23-P1		
ADORA3_+_112031411.23-P1	-0.7715857251520521	-8.67932809286313
ADORA3_+_112031418.23-P1	0.18994012703331364	0.44877931769017615
ADORA3_+_112045890.23-P2		
ADORA3_+_112046055.23-P2	-0.06551643364248427	1.311372541166065
ADORA3_+_112046115.23-P2	-0.27637787718922446	-8.184120244900303
ADORA3_+_112046284.23-P2		
ADORA3_-_112046251.23-P2		
ADRA1A_+_26724406.23-P1P2	8.22229030083645	0.789497926416309
ADRA1A_-_26724311.23-P1P2	-1.4437561965211891	2.47822417085379
ADRA1A_-_26724340.23-P1P2	0.48367133009002394	-7.424071037621055
ADRA1A_-_26724356.23-P1P2	-1.4010736246385385	-11.309078515331125
ADRA1A_-_26724373.23-P1P2		
ADRA1B_+_159343520.23-P1P2	-1.070257249246163	-0.031824376233682894
ADRA1B_+_159344209.23-P1P2	-2.376447783310912	0.8424031976194626
ADRA1B_+_159344222.23-P1P2		
ADRA1B_-_159343504.23-P1P2	8.94859072273016	-0.7953296840744896
ADRA1B_-_159343900.23-P1P2	10.241998661660217	-9.054837227955337
ADRA1D_+_4229485.23-P1P2	1.7844254018729755	2.6700153893526326
ADRA1D_-_4229164.23-P1P2		
ADRA1D_-_4229250.23-P1P2	-1.4508756084213612	-9.35861797613244
ADRA1D_-_4229495.23-P1P2	7.678037937958956	0.5164503358687432
ADRA1D_-_4229926.23-P1P2	11.94358963212213	2.7361477329944957
ADRA2A_-_112837142.23-P1P2	-2.5080638399958666	-9.415806207706947
ADRA2A_-_112837201.23-P1P2	0.3653330407539439	1.8640082928664792
ADRA2A_-_112837216.23-P1P2		
ADRA2A_-_112837238.23-P1P2	-0.6982690475091307	-8.606011415220209
ADRA2A_-_112837251.23-P1P2	-2.673268029757809	-10.581010397468887
ADRA2B_+_96781839.23-P1P2	0.5390143639337985	1.51783956224613
ADRA2B_-_96781873.23-P1P2		
ADRA2B_-_96781894.23-P1P2		
ADRA2B_-_96782243.23-P1P2		
ADRA2B_-_96782246.23-P1P2	-1.2155745981270236	-9.123316965838104
ADRA2C_+_3768074.23-P1P2	0.12045502671202968	2.5402653030821907
ADRA2C_+_3768082.23-P1P2	-0.3369194191242748	1.0583578455019444
ADRA2C_+_3768098.23-P1P2	-0.04594813678735754	-6.951001416970796
ADRA2C_-_3767700.23-P1P2		
ADRA2C_-_3767888.23-P1P2	-1.9012400443872899	-8.80898241209837
ADRB1_+_115804002.23-P1P2		
